age,cost_of_ad,device_type,gender,in_initial_launch_location,income,n_drivers,n_vehicles,prior_ins_tenure,outcome
56,0.005736699,iPhone,M,0,62717,2,1,4,0
50,0.004732661,desktop,F,0,64328,2,3,2,0
54,0.004129266,laptop,M,0,83439,1,3,7,0
16,0.005117213,Android,F,0,30110,2,3,0,0
37,0.003634521,desktop,M,0,76565,2,1,5,0
18,0.004757352,other,F,1,41700,1,3,1,0
20,0.004580126,Android,F,0,26619,1,3,0,0
45,0.00515182,Android,F,1,62496,2,1,10,0
59,0.004969455,laptop,F,0,89294,1,3,5,0
56,0.003961165,desktop,M,0,76673,2,3,1,0
20,0.005842872,iPhone,F,0,50071,2,3,1,0
24,0.004601996,laptop,F,0,50175,2,3,4,0
24,0.004836409,desktop,F,1,51666,1,1,1,0
40,0.004080283,laptop,M,1,40752,2,3,8,0
23,0.003683724,desktop,M,1,33365,2,3,3,0
32,0.003518911,Android,,0,71909,1,3,8,0
39,0.003501868,laptop,M,0,40276,1,3,7,0
39,0.005621908,iPhone,M,1,44613,1,1,1,0
20,0.004072433,laptop,M,0,54581,2,1,1,0
43,0.0048681,Android,F,0,67472,1,3,10,0
49,0.005578309,iPhone,M,1,50378,1,1,10,0
30,0.004159635,desktop,M,0,32058,1,1,1,0
20,0.005276212,iPhone,M,0,57423,2,2,0,0
31,0.003733579,desktop,M,1,54219,1,2,6,0
45,0.005250593,desktop,F,0,67236,1,3,11,0
22,0.003403488,laptop,M,0,49648,1,1,1,0
45,0.004286028,laptop,M,0,80427,2,1,0,1
21,0.004112443,other,M,0,47282,2,1,0,0
26,0.004956592,Android,F,1,53722,2,1,2,0
51,0.005245737,Android,F,1,88957,1,1,1,0
19,0.004150779,laptop,M,1,22727,1,1,0,0
21,0.005956215,iPhone,F,0,58334,1,1,0,0
54,0.00485637,other,F,0,88261,1,3,18,0
32,0.00549169,iPhone,M,0,40577,2,3,6,0
35,0.005346096,desktop,F,1,71896,1,2,9,0
20,0.005069527,iPhone,M,0,36009,2,3,0,0
26,0.004559379,laptop,F,1,62346,2,3,0,0
58,0.003852348,desktop,M,0,68187,2,1,17,0
54,0.005528532,iPhone,,0,87122,2,3,8,0
19,0.003961119,Android,M,0,40859,2,3,0,0
56,0.004671874,laptop,F,1,56633,2,1,17,1
60,0.005029787,Android,F,0,69705,1,3,17,0
18,0.004533679,Android,F,1,24736,1,2,0,0
51,0.005034786,iPhone,M,1,78020,1,3,5,0
37,0.004242167,Android,M,1,62070,1,3,1,1
46,0.004483664,Android,F,0,60609,2,1,7,0
28,0.004679678,desktop,F,1,61384,2,2,2,0
50,0.004608403,Android,F,1,52507,1,1,8,0
43,0.003815195,other,M,1,50578,2,3,8,0
52,0.004206857,other,M,0,87287,1,2,16,0
58,0.005243387,desktop,F,0,78572,2,2,19,0
23,0.003784412,other,M,1,42376,2,3,3,0
28,0.006186075,iPhone,F,1,47723,2,3,4,0
16,0.004601786,other,F,1,46473,1,2,0,0
59,0.006753854,iPhone,F,0,92780,2,3,9,0
55,0.003574425,Android,M,1,64656,1,1,6,0
31,0.003804377,other,M,1,56164,1,3,3,0
31,0.00511411,desktop,F,0,42526,1,3,3,0
60,0.005267578,desktop,F,1,90450,1,1,4,1
51,0.00396007,laptop,M,1,82108,2,2,5,0
31,0.006523545,iPhone,F,1,36077,2,3,7,0
31,0.004541261,laptop,F,1,40884,2,2,2,0
60,0.004142611,desktop,M,0,81684,1,3,13,0
42,0.005276732,other,F,0,43280,2,1,11,0
52,0.005058221,Android,F,1,79460,1,2,12,0
50,0.004888857,Android,F,0,51902,1,2,15,0
58,0.003606966,other,M,1,93004,1,3,19,0
41,0.006170156,iPhone,F,0,44295,2,1,2,0
36,0.003612272,Android,M,0,63627,2,2,4,1
21,0.003991233,Android,M,1,25496,1,1,2,0
57,0.006308545,iPhone,F,0,66986,1,1,19,0
46,0.004065893,other,M,0,56996,1,3,11,0
23,0.004907347,laptop,F,0,60735,1,2,2,0
40,0.004501901,desktop,F,1,55915,1,3,11,0
35,0.003418957,Android,M,0,59285,1,3,6,0
57,0.004205585,other,M,1,80736,2,1,13,1
45,0.005224641,laptop,F,0,80269,1,2,9,0
45,0.004728928,Android,F,1,50679,2,3,13,0
44,0.00462184,Android,F,0,65300,2,2,7,0
29,0.003845791,Android,M,1,47105,2,2,5,0
49,0.005135903,other,F,0,80201,1,1,7,0
47,0.003776206,Android,M,1,62945,1,1,12,1
53,0.005232855,other,F,1,76056,2,2,10,0
33,0.004072881,desktop,M,1,40835,1,2,5,0
60,0.005196791,other,F,0,94382,1,1,18,0
22,0.004928018,Android,F,0,22927,1,2,2,0
24,0.003342588,laptop,M,1,56170,1,1,1,0
16,0.004412478,other,F,1,19367,2,2,0,0
46,0.003609198,other,M,0,55943,2,1,1,0
52,0.005116127,desktop,F,1,91735,1,1,13,0
55,0.004540031,other,M,0,93569,2,3,9,0
35,0.005510428,iPhone,,0,52343,1,3,3,0
26,0.005449371,iPhone,M,0,55524,1,1,3,1
